timestamp,tps,rtps,wtps,bread/s,bwrtn/s
2018-06-18 07:49:01 UTC,20.2,16.96,3.25,749.23,26.65
2018-06-18 07:50:01 UTC,4.43,1.27,3.16,37.56,25.84
2018-06-18 07:51:01 UTC,3.35,0.58,2.77,28.53,26.0
2018-06-18 07:52:01 UTC,3.95,1.02,2.93,22.26,24.12
2018-06-18 07:53:01 UTC,3.7,0.85,2.85,20.39,24.92
2018-06-18 07:54:01 UTC,3.61,0.63,2.98,7.32,24.36
2018-06-18 07:55:01 UTC,4.79,0.7,4.09,13.83,48.54
2018-06-18 07:56:01 UTC,30.94,20.06,10.88,505.37,87.99
2018-06-18 07:57:01 UTC,16.93,7.92,9.01,740.89,80.72
2018-06-18 07:58:01 UTC,33.72,28.58,5.13,1127.82,47.06
2018-06-18 07:59:01 UTC,7.07,3.81,3.26,95.51,35.25
2018-06-18 08:00:01 UTC,3.58,0.56,3.02,15.93,24.83
2018-06-18 08:01:01 UTC,19.24,11.56,7.68,357.88,81.19
2018-06-18 08:02:01 UTC,24.78,20.88,3.89,1122.53,35.37
2018-06-18 08:03:01 UTC,8.59,5.55,3.05,163.86,27.84
2018-06-18 08:04:01 UTC,2.75,0.03,2.72,1.07,24.01
2018-06-18 08:05:01 UTC,2.91,0.02,2.89,0.13,24.72
2018-06-18 08:06:01 UTC,3.53,0.18,3.35,4.93,28.8
2018-06-18 08:07:01 UTC,2.9,0.0,2.9,0.0,23.75
2018-06-18 08:08:01 UTC,2.78,0.05,2.73,2.13,22.14
2018-06-18 08:09:01 UTC,2.76,0.0,2.76,0.0,22.38
2018-06-18 08:10:01 UTC,3.02,0.0,3.02,0.0,26.14
2018-06-18 08:11:01 UTC,3.2,0.0,3.2,0.0,26.13
2018-06-18 08:12:01 UTC,2.78,0.0,2.78,0.0,24.12
2018-06-18 08:13:01 UTC,2.77,0.0,2.77,0.0,22.94
2018-06-18 08:14:01 UTC,2.9,0.0,2.9,0.0,23.47
2018-06-18 08:15:01 UTC,2.85,0.0,2.85,0.0,23.34
2018-06-18 08:16:01 UTC,3.5,0.5,3.0,29.6,24.4
2018-06-18 08:17:01 UTC,2.82,0.0,2.82,0.0,22.67
2018-06-18 08:18:01 UTC,8.73,4.98,3.75,155.49,31.34
2018-06-18 08:19:01 UTC,3.78,0.43,3.35,4.8,29.47
2018-06-18 08:20:01 UTC,4.01,0.15,3.86,1.6,46.0
2018-06-18 08:21:01 UTC,15.95,8.27,7.67,217.34,73.46
2018-06-18 08:22:01 UTC,10.6,2.1,8.5,47.98,75.94
2018-06-18 08:23:01 UTC,9.77,4.7,5.07,91.86,52.51
2018-06-18 08:24:01 UTC,3.84,0.58,3.26,8.64,26.45
2018-06-18 08:25:01 UTC,3.35,0.33,3.02,8.89,24.29
2018-06-18 08:26:01 UTC,17.01,8.6,8.41,198.01,71.61
2018-06-18 08:27:01 UTC,9.06,5.27,3.79,91.07,36.98
2018-06-18 08:28:01 UTC,3.36,0.42,2.95,9.72,27.83
2018-06-18 08:29:01 UTC,6.6,3.6,3.0,101.5,41.48
2018-06-18 08:30:01 UTC,7.46,4.04,3.42,147.72,31.68
2018-06-18 08:31:01 UTC,7.7,3.98,3.72,194.0,34.27
2018-06-18 08:32:01 UTC,4.8,1.7,3.1,171.33,25.2
2018-06-18 08:33:01 UTC,3.25,0.12,3.13,2.67,28.67
2018-06-18 08:34:01 UTC,3.22,0.25,2.97,6.53,24.14
2018-06-18 08:35:01 UTC,3.65,0.48,3.17,5.73,26.27
2018-06-18 08:36:01 UTC,3.22,0.0,3.22,0.0,26.28
2018-06-18 08:37:01 UTC,3.17,0.18,2.98,4.13,24.4
2018-06-18 08:38:01 UTC,2.73,0.0,2.73,0.0,25.47
2018-06-18 08:39:01 UTC,3.03,0.0,3.03,0.0,24.67
2018-06-18 08:40:01 UTC,2.85,0.0,2.85,0.0,23.07
2018-06-18 08:41:01 UTC,3.37,0.02,3.35,0.13,27.47
2018-06-18 08:42:01 UTC,2.83,0.0,2.83,0.0,23.2
2018-06-18 08:43:01 UTC,3.07,0.0,3.07,0.0,24.93
2018-06-18 08:44:01 UTC,5.45,1.7,3.75,21.07,30.53
2018-06-18 08:45:01 UTC,3.95,0.97,2.98,32.67,24.13
2018-06-18 08:46:01 UTC,3.32,0.1,3.22,0.8,28.94
2018-06-18 08:47:01 UTC,3.02,0.0,3.02,0.0,24.67
2018-06-18 08:48:01 UTC,3.12,0.0,3.12,0.0,25.46
2018-06-18 08:49:01 UTC,2.93,0.05,2.88,0.53,23.47
2018-06-18 08:50:01 UTC,2.93,0.05,2.88,0.4,25.07
2018-06-18 08:51:01 UTC,3.05,0.0,3.05,0.0,24.53
2018-06-18 08:52:01 UTC,3.23,0.0,3.23,0.0,26.4
2018-06-18 08:53:01 UTC,2.93,0.0,2.93,0.0,24.0
2018-06-18 08:54:01 UTC,2.7,0.0,2.7,0.0,21.73
2018-06-18 08:55:01 UTC,2.95,0.0,2.95,0.0,24.4
2018-06-18 08:56:01 UTC,13.77,5.83,7.93,122.15,62.28
2018-06-18 08:57:01 UTC,4.67,0.28,4.38,14.4,36.81
2018-06-18 08:58:01 UTC,2.72,0.0,2.72,0.0,22.13
2018-06-18 08:59:01 UTC,3.17,0.0,3.17,0.0,26.13
2018-06-18 09:00:01 UTC,2.93,0.0,2.93,0.0,24.15
2018-06-18 09:01:01 UTC,5.8,0.38,5.42,8.93,47.2
2018-06-18 09:02:01 UTC,3.08,0.0,3.08,0.0,25.34
2018-06-18 09:03:01 UTC,2.9,0.0,2.9,0.0,23.34
2018-06-18 09:04:01 UTC,2.76,0.0,2.76,0.0,23.58
2018-06-18 09:05:01 UTC,11.31,3.33,7.98,82.37,62.91
2018-06-18 09:06:01 UTC,4.1,0.68,3.42,19.74,28.94
2018-06-18 09:07:01 UTC,2.95,0.0,2.95,0.0,24.0
2018-06-18 09:08:01 UTC,2.72,0.0,2.72,0.0,22.0
2018-06-18 09:09:01 UTC,2.9,0.18,2.72,3.2,23.6
2018-06-18 09:10:01 UTC,3.03,0.0,3.03,0.0,26.39
2018-06-18 09:11:01 UTC,4.0,0.75,3.25,22.54,26.4
2018-06-18 09:12:01 UTC,6.61,1.22,5.4,30.66,44.12
2018-06-18 09:13:01 UTC,3.6,0.23,3.37,8.27,27.87
2018-06-18 09:14:01 UTC,3.1,0.05,3.05,0.67,24.8
2018-06-18 09:15:01 UTC,2.9,0.25,2.65,2.67,21.19
2018-06-18 09:16:01 UTC,3.33,0.0,3.33,0.0,27.2
2018-06-18 09:17:01 UTC,3.17,0.0,3.17,0.0,25.85
2018-06-18 09:18:01 UTC,2.58,0.0,2.58,0.0,22.54
2018-06-18 09:19:01 UTC,3.08,0.02,3.07,0.27,25.2
2018-06-18 09:20:01 UTC,3.3,0.22,3.08,3.07,27.6
2018-06-18 09:21:01 UTC,2.72,0.0,2.72,0.0,23.99
2018-06-18 09:22:01 UTC,2.95,0.0,2.95,0.0,23.87
2018-06-18 09:23:01 UTC,2.73,0.18,2.55,3.73,22.13
2018-06-18 09:24:01 UTC,15.52,11.48,4.03,334.93,33.33
2018-06-18 09:25:01 UTC,3.32,0.28,3.04,3.47,24.95
2018-06-18 09:26:01 UTC,5.97,1.11,4.85,34.56,55.57
2018-06-18 09:27:01 UTC,21.3,16.01,5.29,790.84,45.78
2018-06-18 09:28:01 UTC,17.79,8.47,9.33,742.05,86.13
2018-06-18 09:29:01 UTC,32.35,26.46,5.89,758.08,61.28
2018-06-18 09:30:01 UTC,10.22,6.94,3.28,132.6,35.01
2018-06-18 09:31:01 UTC,28.48,24.26,4.22,950.82,37.11
2018-06-18 09:32:01 UTC,6.63,3.06,3.57,82.42,29.5
2018-06-18 09:33:01 UTC,19.93,15.36,4.57,539.39,41.69
2018-06-18 09:34:01 UTC,18.21,14.86,3.34,871.77,42.93
